epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2249.93,1.43172,1.8766,1.88323,0.62935,0.74648,0.79249,0.37187,1.82164,1.62163,2.37734,0.00047489,0.00047489,0.00047489
2,4452.28,1.41551,1.62381,1.85313,0.80303,0.76424,0.85343,0.50567,1.47361,1.28284,1.89883,0.00095086,0.00095086,0.00095086
3,6776.19,1.36014,1.58647,1.81491,0.83825,0.81779,0.90962,0.56429,1.49317,1.13822,2.00251,0.00142538,0.00142538,0.00142538
4,9247.71,1.29821,1.47871,1.75242,0.7663,0.78932,0.88796,0.62204,1.17867,1.00879,1.64987,0.0014241,0.0014241,0.0014241
5,11707.7,1.25101,1.40764,1.71478,0.79374,0.79113,0.89777,0.6102,1.25997,1.06573,1.73668,0.00142029,0.00142029,0.00142029
6,14159.8,1.20931,1.33776,1.68307,0.90131,0.89915,0.95116,0.72383,1.00361,0.70765,1.47944,0.00141541,0.00141541,0.00141541
7,16538.2,1.18312,1.27873,1.65899,0.89021,0.89486,0.95284,0.66384,1.23488,0.74885,1.72795,0.00140946,0.00140946,0.00140946
8,18504.3,1.16869,1.26274,1.64337,0.92162,0.88671,0.94645,0.6529,1.25542,0.80696,1.68024,0.00140244,0.00140244,0.00140244
9,20464.6,1.14755,1.22873,1.62865,0.94698,0.94318,0.96958,0.74566,1.00948,0.56769,1.45535,0.00139438,0.00139438,0.00139438
10,22420.3,1.11729,1.21604,1.60633,0.93999,0.92658,0.96135,0.75333,0.95007,0.60833,1.41648,0.00138528,0.00138528,0.00138528
11,24365,1.10714,1.1696,1.59233,0.93787,0.9501,0.96156,0.75661,0.91504,0.60722,1.3576,0.00137516,0.00137516,0.00137516
12,26313.5,1.0893,1.15144,1.58396,0.94243,0.93479,0.96353,0.77053,0.89801,0.56635,1.34933,0.00136402,0.00136402,0.00136402
13,28297.5,1.08686,1.12651,1.58167,0.96128,0.95608,0.96765,0.77097,0.919,0.52078,1.35562,0.0013519,0.0013519,0.0013519
14,30274.2,1.07446,1.10169,1.56904,0.94162,0.94586,0.96494,0.78411,0.79194,0.55206,1.261,0.00133881,0.00133881,0.00133881
15,32237.1,1.05969,1.09247,1.56141,0.96373,0.9363,0.97737,0.80587,0.83617,0.55869,1.30673,0.00132476,0.00132476,0.00132476
